Debit/Credit,Date,Description,Table Heading, Amount , Outstanding Balance ,,,In QB?,Date,Account
Debit,11/2/2021,Recurring Card Purchase 11/01 Linode 855-454-6633 PA Card 0698,Atm & Debit Card Withdrawals,-30,"527,671.10",,0,,,
Debit,11/3/2021,Service Charges For The Month of October,Fees,-34.95,"527,636.15",,0,,,
Credit,11/3/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211102 CO Entry,Deposits And Additions,330,"527,966.15",,0,,,
Credit,11/4/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211103 CO Entry,Deposits And Additions,"5,371.25","533,337.40",,0,,,
Credit,11/5/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211104 CO Entry,Deposits And Additions,536.25,"533,873.65",,0,,,
Credit,11/8/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211107 CO Entry,Deposits And Additions,330,"534,203.65",,0,,,
Debit,11/8/2021,Orig CO Name:Yourmembership A Orig ID:1900278160 Desc Date:211107 CO Entry,Electronic Withdrawals,"-7,702.39","526,501.26",,0,,,
Credit,11/8/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211107 CO Entry,Deposits And Additions,742.5,"527,243.76",,0,,,
Credit,11/9/2021,Orig CO Name:Harpercollins-Ha Orig ID:5568227951 Desc Date:211109 CO Entry,Deposits And Additions,"2,200.00","529,443.76",,0,,,
Credit,11/10/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211109 CO Entry,Deposits And Additions,907.5,"530,351.26",,0,,,
Debit,11/10/2021,Orig CO Name:Venmo Orig ID:3264681992 Desc Date:211109 CO Entry,Electronic Withdrawals,-100,"530,251.26",,0,,,
Debit,11/10/2021,Recurring Card Purchase 11/10 Google *Google Storag 855-836-3987 CA Card 0698,Atm & Debit Card Withdrawals,-9.99,"530,241.27",,0,,,
Debit,11/10/2021,Recurring Card Purchase 11/10 J2 Efax Services 323-817-3205 CA Card 0698,Atm & Debit Card Withdrawals,-16.95,"530,224.32",,0,,,
Credit,11/12/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211110 CO Entry,Deposits And Additions,637.5,"530,861.82",,0,,,
Credit,11/12/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211111 CO Entry,Deposits And Additions,495,"531,356.82",,0,,,
Credit,11/15/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211112 CO Entry,Deposits And Additions,495,"531,851.82",,0,,,
Credit,11/15/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211114 CO Entry,Deposits And Additions,330,"532,181.82",,0,,,
Debit,11/15/2021,"Zelle Payment To Janet Benson, Inc. 13009036630",Electronic Withdrawals,-46.02,"532,135.80",,0,,,
Debit,11/15/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211114 CO Entry,Electronic Withdrawals,-815,"531,320.80",,0,,,
Debit,11/15/2021,11/15 Online Domestic Wire Transfer A/C: The Samonte Group LLC Los Angeles CA,Electronic Withdrawals,"-14,000.00","517,320.80",,0,,,
Debit,11/15/2021,11/15 Online Domestic Wire Transfer Via: Itasca Bank/071922175 A/C: Cristaux International,Electronic Withdrawals,"-4,830.00","512,490.80",,0,,,
Debit,11/16/2021,Orig CO Name:Venmo Orig ID:3264681992 Desc Date:211115 CO Entry,Electronic Withdrawals,-175,"512,315.80",,0,,,
Credit,11/17/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211116 CO Entry,Deposits And Additions,"2,942.50","515,258.30",,0,,,
Credit,11/18/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211117 CO Entry,Deposits And Additions,412.5,"515,670.80",,0,,,
Debit,11/18/2021,Recurring Card Purchase 11/18 Stamps.Com 855-608-2677 CA Card 0698,Atm & Debit Card Withdrawals,-19.59,"515,651.21",,0,,,
Debit,11/18/2021,Card Purchase 11/18 Audible*Nu79N6Lk3 Amzn.Com/Bill NJ Card 0698,Atm & Debit Card Withdrawals,-7.95,"515,643.26",,0,,,
Debit,11/18/2021,Card Purchase 11/18 Audible*Ao2085M83 Amzn.Com/Bill NJ Card 0698,Atm & Debit Card Withdrawals,-7.95,"515,635.31",,0,,,
Credit,11/19/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211118 CO Entry,Deposits And Additions,"17,291.25","532,926.56",,0,,,
Credit,11/22/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211119 CO Entry,Deposits And Additions,"13,412.50","546,339.06",,0,,,
Credit,11/22/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211121 CO Entry,Deposits And Additions,"2,025.00","548,364.06",,0,,,
Credit,11/22/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211121 CO Entry,Deposits And Additions,"14,605.00","562,969.06",,0,,,
Credit,11/23/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211122 CO Entry,Deposits And Additions,"1,455.00","564,424.06",,0,,,
Credit,11/24/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211123 CO Entry,Deposits And Additions,"10,671.25","575,095.31",,0,,,
Credit,11/26/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211125 CO Entry,Deposits And Additions,990,"576,085.31",,0,,,
Credit,11/26/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211124 CO Entry,Deposits And Additions,"8,725.00","584,810.31",,0,,,
Debit,11/29/2021,11/29 Online Transfer To Chk ...7365 Transaction#: 13112874287,Electronic Withdrawals,"-5,117.28","579,693.03",,0,,,
Credit,11/29/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211128 CO Entry,Deposits And Additions,701.25,"580,394.28",,0,,,
Credit,11/29/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211128 CO Entry,Deposits And Additions,866.25,"581,260.53",,0,,,
Debit,11/29/2021,Recurring Card Purchase 11/27 Eig*Constantcontact.CO 855-2295506 MA Card 0698,Atm & Debit Card Withdrawals,-103.44,"581,157.09",,0,,,
Credit,11/29/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211126 CO Entry,Deposits And Additions,330,"581,487.09",,0,,,
Credit,11/30/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211129 CO Entry,Deposits And Additions,"1,361.25","582,848.34",,0,,,
Credit,12/1/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211130 CO Entry,Deposits And Additions,825,"583,673.34",,0,,,
Debit,12/2/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211130 CO Entry,Electronic Withdrawals,"-3,821.27","579,852.07",,0,,,
Credit,12/2/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211201 CO Entry,Deposits And Additions,"1,601.25","581,453.32",,0,,,
Debit,12/2/2021,Recurring Card Purchase 12/01 Linode 855-454-6633 PA Card 0698,Atm & Debit Card Withdrawals,-30,"581,423.32",,0,,,
Debit,12/3/2021,Service Charges For The Month of November,Fees,-34.95,"581,388.37",,0,,,
Credit,12/3/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211202 CO Entry,Deposits And Additions,"1,826.25","583,214.62",,0,,,
Credit,12/6/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211203 CO Entry,Deposits And Additions,"1,661.25","584,875.87",,0,,,
Credit,12/6/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211205 CO Entry,Deposits And Additions,"2,021.25","586,897.12",,0,,,
Credit,12/7/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211206 CO Entry,Deposits And Additions,330,"587,227.12",,0,,,
Credit,12/8/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211207 CO Entry,Deposits And Additions,"3,195.00","590,422.12",,0,,,
Credit,12/9/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211208 CO Entry,Deposits And Additions,"1,650.00","592,072.12",,0,,,
Credit,12/10/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211209 CO Entry,Deposits And Additions,"1,155.00","593,227.12",,0,,,
Debit,12/10/2021,Recurring Card Purchase 12/10 J2 Efax Services 323-817-3205 CA Card 0698,Atm & Debit Card Withdrawals,-16.95,"593,210.17",,0,,,
Debit,12/10/2021,Recurring Card Purchase 12/10 Google *Google Storag 855-836-3987 CA Card 0698,Atm & Debit Card Withdrawals,-9.99,"593,200.18",,0,,,
Credit,12/13/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211212 CO Entry,Deposits And Additions,165,"593,365.18",,0,,,
Credit,12/13/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211212 CO Entry,Deposits And Additions,"2,861.25","596,226.43",,0,,,
Credit,12/13/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211210 CO Entry,Deposits And Additions,671.25,"596,897.68",,0,,,
Credit,12/14/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211213 CO Entry,Deposits And Additions,330,"597,227.68",,0,,,
Debit,12/14/2021,Recurring Card Purchase 12/14 Stamps.Com 855-608-2677 CA Card 0698,Atm & Debit Card Withdrawals,-19.59,"597,208.09",,0,,,
Credit,12/15/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211214 CO Entry,Deposits And Additions,"1,155.00","598,363.09",,0,,,
Credit,12/16/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211215 CO Entry,Deposits And Additions,"22,405.00","620,768.09",,0,,,
Credit,12/17/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211216 CO Entry,Deposits And Additions,"8,790.00","629,558.09",,0,,,
Credit,12/17/2021,Orig CO Name:Overdrive Orig ID:9111052000 Desc Date: CO Entry,Deposits And Additions,300,"629,858.09",,0,,,
Credit,12/20/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211219 CO Entry,Deposits And Additions,825,"630,683.09",,0,,,
Debit,12/20/2021,Card Purchase 12/18 Audible*Lo9Mv5Lx3 Amzn.Com/Bill NJ Card 0698,Atm & Debit Card Withdrawals,-7.95,"630,675.14",,0,,,
Credit,12/20/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211219 CO Entry,Deposits And Additions,"1,950.00","632,625.14",,0,,,
Credit,12/20/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211217 CO Entry,Deposits And Additions,"4,650.00","637,275.14",,0,,,
Credit,12/21/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211220 CO Entry,Deposits And Additions,720,"637,995.14",,0,,,
Credit,12/21/2021,Orig CO Name:Wise Inc Orig ID:1453233521 Desc Date:211220 CO Entry,Deposits And Additions,165,"638,160.14",,0,,,
Credit,12/22/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211221 CO Entry,Deposits And Additions,"1,425.00","639,585.14",,0,,,
Debit,12/23/2021,Orig CO Name:Venmo Orig ID:3264681992 Desc Date:211222 CO Entry,Electronic Withdrawals,-50,"639,535.14",,0,,,
Credit,12/23/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211222 CO Entry,Deposits And Additions,"1,725.00","641,260.14",,0,,,
Credit,12/24/2021,Orig CO Name:Podium Publishin Orig ID:1204895317 Desc Date: CO Entry,Deposits And Additions,"4,800.00","646,060.14",,0,,,
Credit,12/24/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211223 CO Entry,Deposits And Additions,495,"646,555.14",,0,,,
Credit,12/27/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211224 CO Entry,Deposits And Additions,"1,455.00","648,010.14",,0,,,
Credit,12/27/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211226 CO Entry,Deposits And Additions,330,"648,340.14",,0,,,
Credit,12/27/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211226 CO Entry,Deposits And Additions,495,"648,835.14",,0,,,
Credit,12/28/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211227 CO Entry,Deposits And Additions,536.25,"649,371.39",,0,,,
Credit,12/29/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211228 CO Entry,Deposits And Additions,"1,095.00","650,466.39",,0,,,
Credit,12/29/2021,Remote Online Deposit 1,Deposits And Additions,"2,910.00","653,376.39",,0,,,
Credit,12/29/2021,Remote Online Deposit 1,Deposits And Additions,"7,300.00","660,676.39",,0,,,
Credit,12/29/2021,Remote Online Deposit 1,Deposits And Additions,"1,500.00","662,176.39",,0,,,
Credit,12/30/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211229 CO Entry,Deposits And Additions,"1,361.25","663,537.64",,0,,,
Credit,12/31/2021,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211230 CO Entry,Deposits And Additions,"1,155.00","664,692.64",,0,,,
Credit,1/3/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220102 CO Entry,Deposits And Additions,"17,645.00","682,337.64",,0,,,
Credit,1/3/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211231 CO Entry,Deposits And Additions,"10,870.00","693,207.64",,0,,,
Credit,1/3/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220102 CO Entry,Deposits And Additions,"2,445.00","695,652.64",,0,,,
Debit,1/3/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:211231 CO Entry,Electronic Withdrawals,"-3,297.80","692,354.84",,0,,,
Credit,1/4/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220103 CO Entry,Deposits And Additions,"1,155.00","693,509.84",,0,,,
Debit,1/5/2022,Service Charges For The Month of December,Fees,-25,"693,484.84",,0,,,
Credit,1/5/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220104 CO Entry,Deposits And Additions,"3,020.00","696,504.84",,0,,,
Credit,1/6/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220105 CO Entry,Deposits And Additions,"9,825.00","706,329.84",,0,,,
Credit,1/6/2022,Book Transfer Credit B/O: Custom House Financial (Uk) Ltd Denver CO 80237- US,Deposits And Additions,"1,500.00","707,829.84",,0,,,
Credit,1/7/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220106 CO Entry,Deposits And Additions,"12,745.00","720,574.84",,0,,,
Credit,1/10/2022,Remote Online Deposit 1,Deposits And Additions,"7,300.00","727,874.84",,0,,,
Credit,1/10/2022,Remote Online Deposit 1,Deposits And Additions,"7,300.00","735,174.84",,0,,,
Credit,1/10/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220107 CO Entry,Deposits And Additions,"8,050.00","743,224.84",,0,,,
Debit,1/10/2022,Recurring Card Purchase 01/08 Eig*Constantcontact.CO 855-2295506 MA Card 4199,Atm & Debit Card Withdrawals,-103.44,"743,121.40",,0,,,
Credit,1/10/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220109 CO Entry,Deposits And Additions,"3,175.00","746,296.40",,0,,,
Credit,1/10/2022,Remote Online Deposit 1,Deposits And Additions,300,"746,596.40",,0,,,
Credit,1/10/2022,Remote Online Deposit 1,Deposits And Additions,300,"746,896.40",,0,,,
Credit,1/10/2022,Remote Online Deposit 1,Deposits And Additions,"1,200.00","748,096.40",,0,,,
Credit,1/10/2022,Remote Online Deposit 1,Deposits And Additions,"3,000.00","751,096.40",,0,,,
Credit,1/10/2022,Remote Online Deposit 1,Deposits And Additions,165,"751,261.40",,0,,,
Credit,1/10/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220109 CO Entry,Deposits And Additions,"8,390.00","759,651.40",,0,,,
Credit,1/11/2022,Online Transfer From Chk ...7365 Transaction#: 13430128605,Deposits And Additions,"3,750.00","763,401.40",,0,,,
Credit,1/11/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220110 CO Entry,Deposits And Additions,"2,060.00","765,461.40",,0,,,
Debit,1/12/2022,01/12 Online ACH Payment 5318274986 To Baileyduquette (_######9908),Electronic Withdrawals,"-3,750.00","761,711.40",,0,,,
Debit,1/12/2022,01/12 Online ACH Payment 5318274894 To Baileyduquette (_######9908),Electronic Withdrawals,"-2,200.00","759,511.40",,0,,,
Debit,1/12/2022,01/12 Online ACH Payment 5318274811 To Baileyduquette (_######9908),Electronic Withdrawals,-112.5,"759,398.90",,0,,,
Credit,1/12/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220111 CO Entry,Deposits And Additions,"4,585.00","763,983.90",,0,,,
Debit,1/12/2022,Deposited Item Returned Stop Payment 099010812 # of,Electronic Withdrawals,-300,"763,683.90",,0,,,
Credit,1/13/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220112 CO Entry,Deposits And Additions,"4,175.00","767,858.90",,0,,,
Credit,1/14/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220113 CO Entry,Deposits And Additions,"1,715.00","769,573.90",,0,,,
Credit,1/18/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220117 CO Entry,Deposits And Additions,470,"770,043.90",,0,,,
Credit,1/18/2022,Book Transfer Credit B/O: National Westminster Bank Plc London United Kingdom Ec2M,Deposits And Additions,612,"770,655.90",,0,,,
Credit,1/18/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220116 CO Entry,Deposits And Additions,970,"771,625.90",,0,,,
Credit,1/18/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220114 CO Entry,Deposits And Additions,"5,790.00","777,415.90",,0,,,
Credit,1/18/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220116 CO Entry,Deposits And Additions,"3,760.00","781,175.90",,0,,,
Debit,1/18/2022,Recurring Card Purchase 01/17 Google *Google Storag 855-836-3987 CA Card 4199,Atm & Debit Card Withdrawals,-9.99,"781,165.91",,0,,,
Credit,1/18/2022,Orig CO Name:Chicago Review P Orig ID:9362812923 Desc Date: CO Entry,Deposits And Additions,300,"781,465.91",,0,,,
Credit,1/19/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220118 CO Entry,Deposits And Additions,"2,270.00","783,735.91",,0,,,
Debit,1/19/2022,Card Purchase 01/18 Linode 855-454-6633 PA Card 4199,Atm & Debit Card Withdrawals,-30,"783,705.91",,0,,,
Credit,1/20/2022,Book Transfer Credit B/O: Commerzbank Aktiengesellschaft Frankfurt Am Main Germany,Deposits And Additions,"9,975.00","793,680.91",,0,,,
Credit,1/20/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220119 CO Entry,Deposits And Additions,"1,575.00","795,255.91",,0,,,
Debit,1/21/2022,Card Purchase With Pin 01/21 Nnt Paper Source. I001 New York NY Card 4199,Atm & Debit Card Withdrawals,-20.15,"795,235.76",,0,,,
Credit,1/21/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220120 CO Entry,Deposits And Additions,"3,945.00","799,180.76",,0,,,
Credit,1/21/2022,Remote Online Deposit 1,Deposits And Additions,"3,000.00","802,180.76",,0,,,
Credit,1/24/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220121 CO Entry,Deposits And Additions,"1,715.00","803,895.76",,0,,,
Debit,1/24/2022,01/22 Online Transfer To Chk ...7365 Transaction#: 13502534990,Electronic Withdrawals,"-20,000.00","783,895.76",,0,,,
Credit,1/24/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220123 CO Entry,Deposits And Additions,"8,125.00","792,020.76",,0,,,
Credit,1/24/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220123 CO Entry,Deposits And Additions,"3,770.00","795,790.76",,0,,,
Credit,1/25/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220124 CO Entry,Deposits And Additions,"2,620.00","798,410.76",,0,,,
Debit,1/25/2022,01/25 Online ACH Payment 5319788936 To Baileyduquette (_######9908),Electronic Withdrawals,"-3,750.00","794,660.76",,0,,,
Debit,1/25/2022,01/25 Online ACH Payment 5319788896 To Edisonresearch (_######4589),Electronic Withdrawals,"-18,500.00","776,160.76",,0,,,
Debit,1/25/2022,Orig CO Name:Venmo Orig ID:3264681992 Desc Date:220124 CO Entry,Electronic Withdrawals,-175,"775,985.76",,0,,,
Debit,1/25/2022,"01/25 Online Domestic Wire Transfer Via: Citizens Bank, NA/011500120 A/C: Aba/211070175",Electronic Withdrawals,"-6,835.62","769,150.14",,0,,,
Debit,1/25/2022,"01/25 Online Domestic Wire Transfer Via: Citizens Bank, NA/011500120 A/C: Aba/211070175",Electronic Withdrawals,"-5,221.25","763,928.89",,0,,,
Debit,1/25/2022,"01/25 Online Domestic Wire Transfer Via: Citizens Bank, NA/011500120 A/C: Aba/211070175",Electronic Withdrawals,"-10,473.69","753,455.20",,0,,,
Credit,1/26/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220125 CO Entry,Deposits And Additions,"7,565.00","761,020.20",,0,,,
Debit,1/27/2022,Card Purchase 01/27 Sq *Limousine Nyc LLC Gosq.Com NY Card 4199,Atm & Debit Card Withdrawals,-444.21,"760,575.99",,0,,,
Credit,1/27/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220126 CO Entry,Deposits And Additions,"7,935.00","768,510.99",,0,,,
Credit,1/28/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220127 CO Entry,Deposits And Additions,"15,220.00","783,730.99",,0,,,
Debit,1/28/2022,Card Purchase 01/28 Amzn Mktp US*2K4903G Amzn.Com/Bill WA Card 4199,Atm & Debit Card Withdrawals,-41.66,"783,689.33",,0,,,
Debit,1/28/2022,Card Purchase 01/27 Fedex 97702861 800-4633339 TN Card 4199,Atm & Debit Card Withdrawals,-414.51,"783,274.82",,0,,,
Debit,1/28/2022,Card Purchase 01/27 Amzn Mktp US*O39X372 Amzn.Com/Bill WA Card 4199,Atm & Debit Card Withdrawals,-22.91,"783,251.91",,0,,,
Credit,1/31/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220128 CO Entry,Deposits And Additions,"6,680.00","789,931.91",,0,,,
Credit,1/31/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220130 CO Entry,Deposits And Additions,"5,830.00","795,761.91",,0,,,
Credit,1/31/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220130 CO Entry,Deposits And Additions,275,"796,036.91",,0,,,
Credit,2/1/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220131 CO Entry,Deposits And Additions,330,"796,366.91",,0,,,
Credit,2/1/2022,Orig CO Name:Harpercollins-Ha Orig ID:5568227951 Desc Date:220201 CO Entry,Deposits And Additions,"7,300.00","803,666.91",,0,,,
Credit,2/2/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220201 CO Entry,Deposits And Additions,"2,440.00","806,106.91",,0,,,
Debit,2/2/2022,Recurring Card Purchase 02/01 Linode 855-454-6633 PA Card 4199,Atm & Debit Card Withdrawals,-30,"806,076.91",,0,,,
Debit,2/2/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220131 CO Entry,Electronic Withdrawals,"-6,467.18","799,609.73",,0,,,
Debit,2/3/2022,Recurring Card Purchase 02/02 Eig*Constantcontact.CO 855-2295506 MA Card 4199,Atm & Debit Card Withdrawals,-103.44,"799,506.29",,0,,,
Debit,2/3/2022,Card Purchase 02/02 Fedex 439940905 800-4633339 TN Card 4199,Atm & Debit Card Withdrawals,-92.7,"799,413.59",,0,,,
Debit,2/3/2022,Orig CO Name:Podcast Movement Orig ID:9215986202 Desc Date:220203 CO Entry,Electronic Withdrawals,"-12,500.00","786,913.59",,0,,,
Credit,2/3/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220202 CO Entry,Deposits And Additions,"5,310.00","792,223.59",,0,,,
Credit,2/4/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220203 CO Entry,Deposits And Additions,"1,215.00","793,438.59",,0,,,
Debit,2/7/2022,Card Purchase 02/04 Fedex 440236895 800-4633339 TN Card 4199,Atm & Debit Card Withdrawals,-29.21,"793,409.38",,0,,,
Debit,2/7/2022,Card Purchase 02/05 Amzn Mktp US*Ug9Se9K Amzn.Com/Bill WA Card 4199,Atm & Debit Card Withdrawals,-180.11,"793,229.27",,0,,,
Debit,2/7/2022,Card Purchase 02/05 Amzn Mktp CA*W89Ek01P3 Amazon.CA WA Card 4199,Atm & Debit Card Withdrawals,-62.13,"793,167.14",,0,,,
Credit,2/7/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220206 CO Entry,Deposits And Additions,165,"793,332.14",,0,,,
Debit,2/7/2022,Card Purchase 02/05 Amzn Mktp US*W91Z58Q Amzn.Com/Bill WA Card 4199,Atm & Debit Card Withdrawals,-153.26,"793,178.88",,0,,,
Debit,2/7/2022,Card Purchase 02/06 Amzn Mktp US*Gr2317G Amzn.Com/Bill WA Card 4199,Atm & Debit Card Withdrawals,-114.2,"793,064.68",,0,,,
Credit,2/7/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220206 CO Entry,Deposits And Additions,"1,645.00","794,709.68",,0,,,
Credit,2/7/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220204 CO Entry,Deposits And Additions,"3,925.00","798,634.68",,0,,,
Debit,2/8/2022,Card Purchase 02/08 Amzn Mktp CA*7R3H413G3 Amazon.CA WA Card 4199,Atm & Debit Card Withdrawals,-52.85,"798,581.83",,0,,,
Credit,2/8/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220207 CO Entry,Deposits And Additions,775,"799,356.83",,0,,,
Debit,2/9/2022,Orig CO Name:Venmo Orig ID:3264681992 Desc Date:220208 CO Entry,Electronic Withdrawals,-175,"799,181.83",,0,,,
Debit,2/9/2022,"Zelle Payment To Janet Benson, Inc. 13633313338",Electronic Withdrawals,-10.7,"799,171.13",,0,,,
Credit,2/9/2022,Orig CO Name:Bankcard-8566 Orig ID:1592126793 Desc Date:220208 CO Entry,Deposits And Additions,"1,415.00","800,586.13",,0,,,
Debit,2/9/2022,Card Purchase 02/09 Amazon.Com*851Xz4Kt3 Amzn.Com/Bill WA Card 4199,Atm & Debit Card Withdrawals,-76.64,"800,509.49",,0,,,
Debit,2/9/2022,Card Purchase 02/09 Target.Com * 800-591-3869 MN Card 4199,Atm & Debit Card Withdrawals,-86.63,"800,422.86",,0,,,
Debit,2/9/2022,Card Purchase 02/08 Amzn Mktp US*451X73B Amzn.Com/Bill WA Card 4199,Atm & Debit Card Withdrawals,-23.06,"800,399.80",,0,,,
Debit,2/9/2022,Card Purchase 02/08 Fedex 440458206 800-4633339 TN Card 4199,Atm & Debit Card Withdrawals,-28.29,"800,371.51",,0,,,
